ticket_id,title,description,category,priority,status,resolution,created_at,resolved_at,assigned_agent
TKT-0015,Application license expired,License for ServiceNow expired on 2024-05-17. Users getting license error. Need renewal or temp key.,Application,High,resolved,Contacted vendor support. Received 90-day emergency license extension. Submitted formal renewal order through procurement. Users back to normal.,2024-04-18T17:48:00,2024-04-18T21:48:00,Agent_C
TKT-0016,Database user permissions mismatch,Application service account svc_app missing SELECT permission on new employees table after migration.,Database,Medium,resolved,Granted required SELECT permissions to service account on new tables. Updated application configuration. Tested full application workflow successfully.,2024-01-11T18:35:00,2024-01-12T16:35:00,Agent_A
TKT-0019,Failed migration rollback needed,Schema migration v14.0 on PRODDB01 failed halfway. Partial changes applied. Need clean rollback.,Database,High,resolved,Executed rollback script to undo partial migration changes. Verified database consistency. Fixed migration script for next attempt. Scheduled retry for weekend.,2024-02-25T07:12:00,2024-02-25T11:12:00,Agent_B
TKT-0021,Backup job failed overnight,Scheduled backup for SRV-22 failed at 13:31. Backup logs show timeout after 71 minutes. Data not protected.,Infrastructure,Medium,resolved,Investigated backup failure root cause: network timeout. Extended backup timeout parameter and re-ran backup job successfully. Added monitoring alert.,2024-01-31T05:24:00,2024-01-31T21:24:00,Agent_D
TKT-0023,Server reboot required after patch,Patch KB77491435 applied to SRV-62. Server requires reboot to complete patching. Schedule downtime needed.,Infrastructure,Low,resolved,Scheduled reboot during off-peak hours at 11 PM. Coordinated with business stakeholders. Reboot completed successfully in 8 minutes.,2024-01-30T16:05:00,2024-01-31T08:05:00,Agent_B
TKT-0024,Query performance degradation,Critical report query in CRMDB taking 82 minutes vs previous 9 seconds. Missing index suspected.,Database,High,resolved,"Identified missing composite index on (customer_id, order_date) columns. Created index during off-hours. Query time reduced from 8 minutes to 3 seconds.",2024-08-02T21:37:00,2024-08-03T03:37:00,Agent_C
TKT-0025,Mobile app crashing on iOS,Company mobile app crashes on iOS 17.1 devices after latest update. Android users unaffected.,Application,Medium,resolved,Identified crash caused by deprecated API call in iOS 17. Submitted emergency fix. Temporary rollback to previous version available for affected users.,2024-06-10T02:00:00,2024-06-11T01:00:00,Agent_A
TKT-0027,Bandwidth saturation on WAN link,WAN link to branch Hyderabad saturated at 94% capacity during business hours. Conference calls dropping.,Network,Low,resolved,Identified backup data replication saturating WAN link during business hours. Rescheduled backup replication to 10 PM - 4 AM window. Daytime bandwidth freed.,2024-12-05T03:56:00,2024-12-06T01:56:00,Agent_A
TKT-0028,SSO not working for Office 365,Single Sign-On to Office 365 failing for users in OU=Engineering OU. SAML assertion error in logs.,Access Management,High,resolved,Found SAML attribute mapping broken after directory OU rename. Updated SP configuration with correct OU path. SSO tested and confirmed working for all users.,2024-06-24T06:43:00,2024-06-24T11:43:00,Agent_C
TKT-0029,VM not starting after maintenance,Virtual machine VM-749 fails to boot after scheduled maintenance window. Error: kernel panic at boot.,Infrastructure,Medium,resolved,Restored VM from last known good snapshot. Identified BIOS misconfiguration during maintenance. Updated boot settings and verified full functionality.,2024-01-02T10:49:00,2024-01-03T10:49:00,Agent_B
TKT-0030,Service account password expiry,Service account svc_backup password expires in 71 days. Multiple application integrations will break.,Access Management,High,resolved,Rotated service account password before expiry. Updated password in all integrated applications and vaults. Tested all dependent services. No disruption caused.,2024-12-19T04:34:00,2024-12-19T05:34:00,Agent_D
TKT-0034,API integration broken,Integration between SAP and Workday API stopped working. 401 Unauthorized errors since 2025-04-08.,Application,High,resolved,API token expired and not auto-refreshed. Updated integration configuration with new token and implemented auto-refresh mechanism. Integration restored.,2024-05-22T02:49:00,2024-05-22T07:49:00,Agent_E
TKT-0035,Suspected phishing email received,User received suspicious email claiming to be from IT department asking for password reset. Possible phishing attack.,Security,Medium,resolved,Confirmed phishing attempt. Blocked sender domain at mail gateway. Collected and deleted all instances of email from mailboxes. Sent awareness advisory to all staff.,2024-05-15T01:06:00,2024-05-15T16:06:00,Agent_D
TKT-0036,DHCP scope exhausted,DHCP scope for VLAN 39 exhausted. New devices cannot obtain IP address. BYOD area affected.,Network,Medium,resolved,Expanded DHCP scope by adding new IP range. Devices now obtaining addresses. Implemented DHCP monitoring to alert at 80% scope utilization.,2024-05-10T01:45:00,2024-05-10T05:45:00,Agent_C
TKT-0038,Network switch port misconfigured,Switch port on rack R07 misconfigured as trunk. VLAN 117 traffic bleeding. Isolate affected systems.,Network,Medium,resolved,Corrected switch port VLAN configuration. Changed from trunk to access mode on VLAN 10. Verified no more VLAN bleeding. Documented correct configuration.,2024-03-30T19:36:00,2024-03-31T11:36:00,Agent_C
TKT-0039,SSL certificate expiring soon,SSL certificate for mail.company.com expires in 75 days. Renewal required to prevent browser warnings.,Security,Medium,resolved,Renewed SSL certificate via DigiCert. Deployed to all web servers and load balancers. Certificate monitoring automated for 60-day renewal alerts.,2024-08-14T14:43:00,2024-08-15T10:43:00,Agent_B
TKT-0040,Cannot access shared drive after role change,User bob.wilson moved to Operations department but still has access to previous department shared drives.,Access Management,Medium,resolved,Revoked access to previous department shares per role change procedure. Granted access to new department resources. Updated access matrix documentation.,2024-02-17T07:43:00,2024-02-17T18:43:00,Agent_B
TKT-0043,Physical server needs RAM upgrade,"Server SRV-32 experiencing frequent swap usage. Currently 16GB, need upgrade to 64GB for workload.",Infrastructure,Low,resolved,Submitted hardware upgrade request to procurement. Approved expedited delivery. Memory expansion scheduled for next maintenance window.,2024-03-09T14:42:00,2024-03-12T14:42:00,Agent_D
TKT-0045,Query performance degradation,Critical report query in HRDB taking 101 minutes vs previous 11 seconds. Missing index suspected.,Database,High,resolved,"Identified missing composite index on (customer_id, order_date) columns. Created index during off-hours. Query time reduced from 8 minutes to 3 seconds.",2024-10-03T02:08:00,2024-10-03T05:08:00,Agent_B
TKT-0046,Privileged access request for DBA,DBA team member john.smith needs temporary elevated DB access for weekend maintenance window.,Access Management,Medium,resolved,Granted time-limited privileged access via PAM system. Access auto-expires after maintenance window. All privileged actions logged. Access revoked on schedule.,2024-08-26T13:03:00,2024-08-27T06:03:00,Agent_E
TKT-0049,Load balancer health check failing,Load balancer LB-1 marking backend server SVR-43 as unhealthy. Traffic not distributed evenly.,Network,Medium,resolved,Resolved health check failure caused by SSL certificate mismatch. Updated load balancer SSL profile. Backend server passing health checks. Traffic balanced correctly.,2024-08-24T05:03:00,2024-08-24T21:03:00,Agent_B
TKT-0051,Slow performance in ERP module,ERP system Finance module responding slowly. Average response time 26 seconds vs normal 0.5s.,Application,High,resolved,Found missing database index on frequently queried column. Created index in low-traffic window. Response time reduced from 8s to 0.4s.,2024-01-11T19:09:00,2024-01-11T23:09:00,Agent_A
TKT-0054,Data center cooling alert,Cooling system in DC-1 reporting high temperature warning. Room temp at 37°C. Need HVAC check.,Infrastructure,High,resolved,Escalated to data center team. HVAC unit serviced and repaired. Temperature normalized within safe operating range. No hardware damage detected.,2024-08-07T21:23:00,2024-08-07T23:23:00,Agent_A
TKT-0056,BGP route flapping detected,BGP route flapping detected on ISP link Tata. Packet loss 89% affecting cloud connectivity.,Network,High,resolved,Coordinated with ISP to address BGP route instability. ISP applied route dampening and fixed misconfigured peer. Route stabilized. Packet loss back to 0%.,2024-06-14T07:53:00,2024-06-14T09:53:00,Agent_B
TKT-0057,Statistics need updating,Query optimizer choosing wrong execution plan on CRMDB. Updating statistics should resolve performance issue.,Database,Low,resolved,Updated statistics on all tables in affected database. Cached query plans cleared. Execution plan now optimal. Query performance restored to baseline.,2024-09-10T10:11:00,2024-09-12T15:11:00,Agent_C
TKT-0058,Firewall rule review needed,"Quarterly firewall audit found 452 outdated rules allowing unnecessary inbound traffic on ports 40093, 46976.",Security,Medium,resolved,Removed 12 outdated firewall rules after business validation. Applied least-privilege ruleset. Documented changes in change management system.,2024-09-21T06:05:00,2024-09-21T23:05:00,Agent_E
TKT-0059,Application license expired,License for Oracle EBS expired on 2025-08-26. Users getting license error. Need renewal or temp key.,Application,Medium,resolved,Contacted vendor support. Received 90-day emergency license extension. Submitted formal renewal order through procurement. Users back to normal.,2024-12-20T07:19:00,2024-12-21T02:19:00,Agent_D
TKT-0060,SSO not working for Office 365,Single Sign-On to Office 365 failing for users in OU=Finance OU. SAML assertion error in logs.,Access Management,High,resolved,Found SAML attribute mapping broken after directory OU rename. Updated SP configuration with correct OU path. SSO tested and confirmed working for all users.,2024-06-05T08:14:00,2024-06-05T10:14:00,Agent_A
TKT-0061,SSO not working for Office 365,Single Sign-On to Office 365 failing for users in OU=Engineering OU. SAML assertion error in logs.,Access Management,Low,resolved,Found SAML attribute mapping broken after directory OU rename. Updated SP configuration with correct OU path. SSO tested and confirmed working for all users.,2024-10-28T16:38:00,2024-10-30T00:38:00,Agent_C
TKT-0063,Service account password expiry,Service account svc_app password expires in 14 days. Multiple application integrations will break.,Access Management,High,resolved,Rotated service account password before expiry. Updated password in all integrated applications and vaults. Tested all dependent services. No disruption caused.,2024-08-13T10:11:00,2024-08-13T11:11:00,Agent_A
TKT-0065,Proxy filter blocking legitimate site,Corporate proxy blocking access to npmjs.com needed for project. Business justification submitted.,Network,Low,resolved,Added business exception rule for required site in proxy. Applied department-specific allow list. Users can now access required resource. Exception documented.,2024-09-24T12:28:00,2024-09-27T02:28:00,Agent_C
TKT-0066,Load balancer health check failing,Load balancer LB-1 marking backend server SVR-04 as unhealthy. Traffic not distributed evenly.,Network,High,resolved,Resolved health check failure caused by SSL certificate mismatch. Updated load balancer SSL profile. Backend server passing health checks. Traffic balanced correctly.,2024-04-18T08:42:00,2024-04-18T10:42:00,Agent_B
TKT-0067,Intermittent network drops,Users in floor 1 of building Annex experiencing random network disconnects every 30 minutes.,Network,Medium,resolved,Identified faulty AP causing interference on floor. Replaced AP hardware. Adjusted nearby AP power levels. Network drops resolved. Users confirmed stable connection.,2024-05-29T01:14:00,2024-05-29T14:14:00,Agent_A
TKT-0068,Privileged access request for DBA,DBA team member bob.wilson needs temporary elevated DB access for weekend maintenance window.,Access Management,Medium,resolved,Granted time-limited privileged access via PAM system. Access auto-expires after maintenance window. All privileged actions logged. Access revoked on schedule.,2024-12-04T06:27:00,2024-12-05T03:27:00,Agent_B
TKT-0070,DHCP scope exhausted,DHCP scope for VLAN 136 exhausted. New devices cannot obtain IP address. BYOD area affected.,Network,Medium,resolved,Expanded DHCP scope by adding new IP range. Devices now obtaining addresses. Implemented DHCP monitoring to alert at 80% scope utilization.,2024-08-09T23:20:00,2024-08-10T03:20:00,Agent_B
TKT-0072,CSV import failing,Data import tool fails when processing CSV files larger than 32MB. Memory exception in logs.,Application,Low,resolved,Identified memory constraint in import service. Updated JVM heap size from 512MB to 2GB. CSV imports up to 500MB now working correctly.,2024-02-16T15:22:00,2024-02-18T16:22:00,Agent_A
TKT-0073,Email notifications not sending,Automated email notifications from Confluence system stopped working. SMTP errors in logs since yesterday.,Application,Medium,resolved,SMTP server certificate expired. Renewed certificate and restarted mail relay service. Email notifications resumed. Added certificate expiry monitoring.,2024-07-24T17:02:00,2024-07-24T23:02:00,Agent_C
TKT-0078,Database user permissions mismatch,Application service account svc_backup missing SELECT permission on new orders table after migration.,Database,Low,resolved,Granted required SELECT permissions to service account on new tables. Updated application configuration. Tested full application workflow successfully.,2024-03-10T02:17:00,2024-03-13T02:17:00,Agent_C
TKT-0082,Load balancer health check failing,Load balancer LB-1 marking backend server SVR-22 as unhealthy. Traffic not distributed evenly.,Network,High,resolved,Resolved health check failure caused by SSL certificate mismatch. Updated load balancer SSL profile. Backend server passing health checks. Traffic balanced correctly.,2024-09-26T14:00:00,2024-09-26T17:00:00,Agent_A
TKT-0083,Database backup failed,Nightly backup of FINDB database failed. Backup logs show insufficient disk space on backup server.,Database,Medium,resolved,Manual backup triggered after expanding backup storage by 500GB. Verified backup integrity. Automated daily backups re-enabled with increased storage threshold.,2024-02-11T10:54:00,2024-02-12T00:54:00,Agent_E
TKT-0085,Replication lag detected,Database replication lag on FINDB slave is 24 seconds behind master. Risk of stale reads.,Database,Medium,resolved,Found replication lag caused by large transaction on master. Optimized transaction to use batch processing. Replica caught up within 15 minutes.,2024-01-29T09:22:00,2024-01-30T02:22:00,Agent_B
TKT-0086,Proxy filter blocking legitimate site,Corporate proxy blocking access to npmjs.com needed for project. Business justification submitted.,Network,Low,resolved,Added business exception rule for required site in proxy. Applied department-specific allow list. Users can now access required resource. Exception documented.,2024-03-30T02:39:00,2024-03-31T16:39:00,Agent_D
TKT-0087,Network switch port misconfigured,Switch port on rack R08 misconfigured as trunk. VLAN 128 traffic bleeding. Isolate affected systems.,Network,Medium,resolved,Corrected switch port VLAN configuration. Changed from trunk to access mode on VLAN 10. Verified no more VLAN bleeding. Documented correct configuration.,2024-12-07T00:57:00,2024-12-07T13:57:00,Agent_A
TKT-0088,Table lock causing deadlock,Deadlock detected in FINDB on table employees. 302 transactions rolled back. Application throwing errors.,Database,High,resolved,Identified deadlock pattern in application transaction order. Worked with dev team to reorder table access in transactions. Deadlocks eliminated.,2024-06-03T06:24:00,2024-06-03T14:24:00,Agent_D
TKT-0090,BGP route flapping detected,BGP route flapping detected on ISP link Jio. Packet loss 84% affecting cloud connectivity.,Network,High,resolved,Coordinated with ISP to address BGP route instability. ISP applied route dampening and fixed misconfigured peer. Route stabilized. Packet loss back to 0%.,2024-11-21T06:39:00,2024-11-21T11:39:00,Agent_A
TKT-0092,Wi-Fi dead zone in conference room,Conference room C-228 has no Wi-Fi coverage. AP-44 appears offline. Meeting disruptions daily.,Network,Low,resolved,Replaced offline AP with spare unit. Configured with matching SSID and security settings. Signal strength confirmed in conference room. Users connecting successfully.,2024-09-03T09:47:00,2024-09-06T04:47:00,Agent_A
TKT-0093,API integration broken,Integration between Oracle and ServiceNow API stopped working. 401 Unauthorized errors since 2025-09-12.,Application,Medium,resolved,API token expired and not auto-refreshed. Updated integration configuration with new token and implemented auto-refresh mechanism. Integration restored.,2024-10-01T03:29:00,2024-10-01T15:29:00,Agent_C
TKT-0094,Backup job failed overnight,Scheduled backup for SRV-61 failed at 00:39. Backup logs show timeout after 81 minutes. Data not protected.,Infrastructure,Medium,resolved,Investigated backup failure root cause: network timeout. Extended backup timeout parameter and re-ran backup job successfully. Added monitoring alert.,2024-11-27T02:40:00,2024-11-27T15:40:00,Agent_A
TKT-0095,Application crash on login,Users cannot log into Salesforce. Application crashes immediately after entering credentials. Error: NullPointerException.,Application,High,resolved,Identified null session cookie causing crash. Applied hotfix patch v2.3.1. Deployed to production after UAT. All users successfully logging in.,2024-02-19T07:56:00,2024-02-19T10:56:00,Agent_C
TKT-0097,UPS battery low warning,UPS unit in rack R15 reporting battery at 81% charge. Risk of power loss during outage.,Infrastructure,Medium,resolved,Replaced faulty UPS battery module. Performed load test to confirm 2-hour backup capacity. Scheduled regular quarterly battery health checks.,2024-07-04T03:43:00,2024-07-05T00:43:00,Agent_A
TKT-0099,UPS battery low warning,UPS unit in rack R05 reporting battery at 82% charge. Risk of power loss during outage.,Infrastructure,Medium,resolved,Replaced faulty UPS battery module. Performed load test to confirm 2-hour backup capacity. Scheduled regular quarterly battery health checks.,2024-10-10T06:37:00,2024-10-10T17:37:00,Agent_B
TKT-0101,Application crash on login,Users cannot log into Jira. Application crashes immediately after entering credentials. Error: NullPointerException.,Application,High,resolved,Identified null session cookie causing crash. Applied hotfix patch v2.3.1. Deployed to production after UAT. All users successfully logging in.,2024-06-14T00:11:00,2024-06-14T05:11:00,Agent_D
TKT-0102,Intermittent network drops,Users in floor 2 of building Annex experiencing random network disconnects every 105 minutes.,Network,Medium,resolved,Identified faulty AP causing interference on floor. Replaced AP hardware. Adjusted nearby AP power levels. Network drops resolved. Users confirmed stable connection.,2024-10-30T03:28:00,2024-10-31T02:28:00,Agent_E
TKT-0103,USB drive policy violation,Inventory system flagged user maria.garcia using unauthorized USB drive on secured workstation.,Security,Medium,resolved,User counseled on acceptable use policy. USB drive contents scanned and cleared. Blocked USB storage class on endpoint via group policy.,2024-09-02T12:27:00,2024-09-03T07:27:00,Agent_A
TKT-0104,UPS battery low warning,UPS unit in rack R05 reporting battery at 94% charge. Risk of power loss during outage.,Infrastructure,Medium,resolved,Replaced faulty UPS battery module. Performed load test to confirm 2-hour backup capacity. Scheduled regular quarterly battery health checks.,2024-10-26T17:45:00,2024-10-27T09:45:00,Agent_D
TKT-0105,Load balancer health check failing,Load balancer LB-1 marking backend server SVR-28 as unhealthy. Traffic not distributed evenly.,Network,High,resolved,Resolved health check failure caused by SSL certificate mismatch. Updated load balancer SSL profile. Backend server passing health checks. Traffic balanced correctly.,2024-12-01T20:56:00,2024-12-02T00:56:00,Agent_B
TKT-0106,Table lock causing deadlock,Deadlock detected in ANALYTICSDB on table employees. 425 transactions rolled back. Application throwing errors.,Database,High,resolved,Identified deadlock pattern in application transaction order. Worked with dev team to reorder table access in transactions. Deadlocks eliminated.,2024-08-06T10:42:00,2024-08-06T15:42:00,Agent_D
TKT-0107,VM not starting after maintenance,Virtual machine VM-951 fails to boot after scheduled maintenance window. Error: kernel panic at boot.,Infrastructure,Medium,resolved,Restored VM from last known good snapshot. Identified BIOS misconfiguration during maintenance. Updated boot settings and verified full functionality.,2024-07-09T04:35:00,2024-07-10T02:35:00,Agent_A
TKT-0108,Table lock causing deadlock,Deadlock detected in ANALYTICSDB on table customers. 449 transactions rolled back. Application throwing errors.,Database,High,resolved,Identified deadlock pattern in application transaction order. Worked with dev team to reorder table access in transactions. Deadlocks eliminated.,2024-06-29T03:36:00,2024-06-29T07:36:00,Agent_B
TKT-0109,UPS battery low warning,UPS unit in rack R12 reporting battery at 92% charge. Risk of power loss during outage.,Infrastructure,Medium,resolved,Replaced faulty UPS battery module. Performed load test to confirm 2-hour backup capacity. Scheduled regular quarterly battery health checks.,2024-08-07T17:49:00,2024-08-08T16:49:00,Agent_A
TKT-0110,Mobile app crashing on iOS,Company mobile app crashes on iOS 16.2 devices after latest update. Android users unaffected.,Application,Medium,resolved,Identified crash caused by deprecated API call in iOS 17. Submitted emergency fix. Temporary rollback to previous version available for affected users.,2024-03-14T18:42:00,2024-03-15T00:42:00,Agent_A
TKT-0111,Physical server needs RAM upgrade,"Server SRV-28 experiencing frequent swap usage. Currently 16GB, need upgrade to 64GB for workload.",Infrastructure,Low,resolved,Submitted hardware upgrade request to procurement. Approved expedited delivery. Memory expansion scheduled for next maintenance window.,2024-03-21T11:19:00,2024-03-22T05:19:00,Agent_A
TKT-0112,Report generation failing,Monthly Operations report fails to generate. Process hangs at 99% and times out after 30 minutes.,Application,High,resolved,Increased report generation timeout from 30 to 120 minutes. Optimized underlying SQL query. Report now generating in 22 minutes.,2024-12-04T13:31:00,2024-12-04T21:31:00,Agent_B
TKT-0114,VPN users cannot connect,All remote VPN users unable to connect since 00:13. Error: IKE authentication failed. Office WFH impacted.,Network,High,resolved,Identified expired IKE certificate on VPN concentrator. Renewed certificate and restarted IKE service. All VPN users reconnecting successfully. Total downtime: 45 minutes.,2024-03-11T08:18:00,2024-03-11T14:18:00,Agent_D
TKT-0116,Database connection pool exhausted,Production DB PRODDB01 connection pool maxed out at 237 connections. New requests queuing. Service degradation.,Database,High,resolved,Identified connection leak in application code. Applied hotfix to properly close connections. Increased connection pool size temporarily. Normal operations resumed.,2024-10-20T12:45:00,2024-10-20T19:45:00,Agent_D
TKT-0121,Guest user access request,External partner from VendorLtd needs guest access to SharePoint project site for bid preparation.,Access Management,Low,resolved,Created guest account with time-limited access (30 days). Restricted to specific SharePoint site. Sent invite to external partner. Access documented in ITSM.,2024-03-18T14:04:00,2024-03-20T12:04:00,Agent_C
TKT-0122,VPN users cannot connect,All remote VPN users unable to connect since 11:32. Error: IKE authentication failed. Office WFH impacted.,Network,Medium,resolved,Identified expired IKE certificate on VPN concentrator. Renewed certificate and restarted IKE service. All VPN users reconnecting successfully. Total downtime: 45 minutes.,2024-01-30T11:53:00,2024-01-30T17:53:00,Agent_E
TKT-0123,DHCP scope exhausted,DHCP scope for VLAN 108 exhausted. New devices cannot obtain IP address. BYOD area affected.,Network,Medium,resolved,Expanded DHCP scope by adding new IP range. Devices now obtaining addresses. Implemented DHCP monitoring to alert at 80% scope utilization.,2024-01-22T14:58:00,2024-01-23T04:58:00,Agent_E
TKT-0125,Service account password expiry,Service account svc_monitor password expires in 57 days. Multiple application integrations will break.,Access Management,High,resolved,Rotated service account password before expiry. Updated password in all integrated applications and vaults. Tested all dependent services. No disruption caused.,2024-07-09T09:24:00,2024-07-09T16:24:00,Agent_C
TKT-0126,UPS battery low warning,UPS unit in rack R18 reporting battery at 78% charge. Risk of power loss during outage.,Infrastructure,Medium,resolved,Replaced faulty UPS battery module. Performed load test to confirm 2-hour backup capacity. Scheduled regular quarterly battery health checks.,2024-12-02T19:55:00,2024-12-03T09:55:00,Agent_E
TKT-0128,Workflow stuck in pending state,Purchase approval workflow in Salesforce stuck for 332 requests. Approver receives no notifications.,Application,Medium,resolved,Found approver notification email rule misconfigured after mail server migration. Updated notification templates. All pending approvals re-triggered.,2024-01-10T11:19:00,2024-01-10T21:19:00,Agent_D
TKT-0129,API integration broken,Integration between Salesforce and Jira API stopped working. 401 Unauthorized errors since 2024-05-28.,Application,High,resolved,API token expired and not auto-refreshed. Updated integration configuration with new token and implemented auto-refresh mechanism. Integration restored.,2024-10-03T23:56:00,2024-10-04T00:56:00,Agent_E
TKT-0132,Guest user access request,External partner from ConsultancyCo needs guest access to SharePoint project site for bid preparation.,Access Management,Low,resolved,Created guest account with time-limited access (30 days). Restricted to specific SharePoint site. Sent invite to external partner. Access documented in ITSM.,2024-07-14T16:33:00,2024-07-16T01:33:00,Agent_E
TKT-0133,Mobile app crashing on iOS,Company mobile app crashes on iOS 14.3 devices after latest update. Android users unaffected.,Application,Medium,resolved,Identified crash caused by deprecated API call in iOS 17. Submitted emergency fix. Temporary rollback to previous version available for affected users.,2024-02-22T22:54:00,2024-02-23T11:54:00,Agent_B
TKT-0134,USB drive policy violation,Inventory system flagged user raj.kumar using unauthorized USB drive on secured workstation.,Security,Medium,resolved,User counseled on acceptable use policy. USB drive contents scanned and cleared. Blocked USB storage class on endpoint via group policy.,2024-04-23T14:56:00,2024-04-23T18:56:00,Agent_A
TKT-0135,Database user permissions mismatch,Application service account svc_db missing SELECT permission on new transactions table after migration.,Database,Medium,resolved,Granted required SELECT permissions to service account on new tables. Updated application configuration. Tested full application workflow successfully.,2024-04-24T00:20:00,2024-04-25T00:20:00,Agent_B
TKT-0136,Application crash on login,Users cannot log into Jira. Application crashes immediately after entering credentials. Error: NullPointerException.,Application,High,resolved,Identified null session cookie causing crash. Applied hotfix patch v2.3.1. Deployed to production after UAT. All users successfully logging in.,2024-03-12T22:30:00,2024-03-13T06:30:00,Agent_A
TKT-0138,Backup job failed overnight,Scheduled backup for SRV-54 failed at 20:50. Backup logs show timeout after 89 minutes. Data not protected.,Infrastructure,Medium,resolved,Investigated backup failure root cause: network timeout. Extended backup timeout parameter and re-ran backup job successfully. Added monitoring alert.,2024-09-12T19:34:00,2024-09-13T19:34:00,Agent_B
TKT-0139,VPN security patch needed,Critical security patch CVE-2023-90584 available for VPN gateway. Exploitation in wild reported.,Security,High,resolved,Applied VPN gateway security patch in emergency maintenance window. Verified patch integrity via vendor hash. Restarted services. No exploitation detected.,2024-04-05T21:42:00,2024-04-05T23:42:00,Agent_A
TKT-0140,DHCP scope exhausted,DHCP scope for VLAN 139 exhausted. New devices cannot obtain IP address. BYOD area affected.,Network,Medium,resolved,Expanded DHCP scope by adding new IP range. Devices now obtaining addresses. Implemented DHCP monitoring to alert at 80% scope utilization.,2024-01-11T12:55:00,2024-01-11T17:55:00,Agent_C
TKT-0141,Suspected phishing email received,User received suspicious email claiming to be from IT department asking for password reset. Possible phishing attack.,Security,High,resolved,Confirmed phishing attempt. Blocked sender domain at mail gateway. Collected and deleted all instances of email from mailboxes. Sent awareness advisory to all staff.,2024-05-03T23:42:00,2024-05-04T01:42:00,Agent_B
TKT-0142,UPS battery low warning,UPS unit in rack R11 reporting battery at 92% charge. Risk of power loss during outage.,Infrastructure,Medium,resolved,Replaced faulty UPS battery module. Performed load test to confirm 2-hour backup capacity. Scheduled regular quarterly battery health checks.,2024-12-16T14:44:00,2024-12-17T14:44:00,Agent_B
TKT-0144,Database backup failed,Nightly backup of PRODDB01 database failed. Backup logs show insufficient disk space on backup server.,Database,Medium,resolved,Manual backup triggered after expanding backup storage by 500GB. Verified backup integrity. Automated daily backups re-enabled with increased storage threshold.,2024-07-01T01:55:00,2024-07-01T13:55:00,Agent_C
TKT-0145,Storage auto-growth disabled,Database ANALYTICSDB log file at 98% capacity with auto-growth disabled. Manual expansion needed.,Database,Medium,resolved,Expanded log file by 50GB and re-enabled auto-growth with 20% increment. Added disk space alert at 80% threshold. Resolved without service impact.,2024-04-05T15:44:00,2024-04-06T06:44:00,Agent_A
